img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
26166082,-2648.440148,243.4854978,130.1029358,129.9024353,139.2573547,4849.491174,4804.544924,5064.766258,5.96E-08,3.70E-06,1871.749976,5676825.512,-0.803939819,0.015230398,0.804541926,0.080431452,65392,1900.20119,398.2089153,111.263734
26321113,-1096.035637,3704.227337,125.0731659,136.2194672,140.3356781,3177.437838,3444.951666,3665.486396,5.96E-08,3.35E-06,105.8536629,15709.96018,-0.158149719,0.011443845,0.92699074,0.123677412,65524,3605.984161,275.3652274,128.9790356
22603039,7880.318475,6996.303515,110.6498413,124.6499176,109.5952454,4095.456521,3755.459886,3861.520652,5.96E-08,1.61E-06,144.6821638,63105.5054,-0.138626099,0.006376451,0.49358392,0.027935372,65521,262.8355698,5.7535494,97.09067154
19015303,15460.92451,26280.46355,72.42985535,125.6676941,92.052948,3290.83413,3148.14296,3220.085942,5.96E-08,2.07E-06,238.478232,120933.6231,0.139083862,0.006493725,0.305936284,0.022224852,65536,108.3969696,3.557196852,109.0128457
22687435,9188.282771,10298.16581,105.7394409,129.4606476,110.9826965,3637.295299,4015.065895,3994.826605,5.96E-08,1.64E-06,141.4014021,52105.03806,0.024368286,0.006248686,0.387593915,0.025539126,65529,263.0071427,4.588800151,118.5781948
21424353,3506.604289,22510.33772,81.9402771,126.1144257,118.8549805,3699.504337,3891.013716,4009.355922,5.96E-08,1.39E-06,42.60757871,3431.741664,0.066360474,0.006064435,0.299980894,0.019340549,65533,113.2253967,1.345592698,92.88813597
20340245,4857.374979,30065.00626,64.15472412,130.3658295,115.8469543,2458.655504,3370.772861,3100.625259,5.96E-08,1.41E-06,40.72462849,2683.709616,0.041221619,0.006414939,0.214511174,0.020775774,65532,128.2964646,1.538662084,110.048948
23431129,259.981529,-1657.940544,121.6896515,117.9204102,117.9205933,3475.606794,3371.53169,3433.883984,5.96E-08,1.65E-06,44.87177791,2884.346917,0.022453308,0.007873655,0.831641529,0.051824921,65496,628.8193719,16.01699492,118.0869933
21909310,-8047.983142,9065.480568,91.71296692,110.0106354,132.5859375,3143.16955,3371.73974,3487.75238,5.96E-08,1.70E-06,103.9709872,37680.97417,0.106506348,0.007261805,0.657844892,0.043775672,65525,711.020382,123.6232439,116.067558
23074764,3769.343294,10980.26902,104.4195099,126.987442,120.6860046,4281.411582,3969.805033,4198.76008,5.96E-08,1.87E-06,109.5126239,23935.35992,0.102798462,0.006618604,0.621191382,0.033119818,65519,311.8477631,7.375413467,122.6807456
24232145,-236.2333051,1200.435239,119.9904327,123.3727417,126.3900146,4030.790207,4123.742961,4406.731464,5.96E-08,1.81E-06,53.56412869,7222.334208,-0.078102112,0.007177656,0.800119241,0.0442178,65420,537.392965,15.73358081,98.70017418
22914237,5324.888472,12826.08201,104.6008453,127.489975,117.5526886,5125.797264,3533.051932,4198.889802,5.96E-08,1.78E-06,91.34534725,15785.34731,-0.000648499,0.007175857,0.702250533,0.042727398,65509,570.0853532,26.05991802,119.5899066
25397868,-1466.171434,88.56645964,127.818512,128.40802,131.3141785,4193.503347,4241.015221,4272.597032,5.96E-08,7.42E-06,174.2062958,34284.34047,-0.062164307,0.007794247,0.839006,0.05819945,65288,778.0447686,20.12714584,102.3372706
23001633,2761.678228,7547.948237,107.7914581,123.4656525,119.7199554,3964.722517,3962.197917,4283.202077,5.96E-08,1.75E-06,82.23131477,17890.83048,-0.040779114,0.006644295,0.592040387,0.030446918,65506,398.0965005,7.31423471,102.8690198
21630849,-7386.175175,11714.2514,88.05769348,110.523819,131.4790497,3176.947492,3314.842969,3577.029102,5.96E-08,1.61E-06,41.55077537,2403.417416,0.302055359,0.007220162,0.692935034,0.040356938,65502,536.2091988,62.52528406,125.5202061
21537473,5528.844961,21469.31888,84.36471558,127.7811127,116.4899292,4237.306649,3857.22191,4106.453268,5.96E-08,1.43E-06,76.09923235,16141.37924,0.091896057,0.006274095,0.487511531,0.024586336,65525,175.5452019,2.64424708,107.1191402
22074146,8667.427612,16964.84762,93.62315369,130.912323,112.2892609,4218.057892,3993.276553,4361.195335,5.96E-08,1.85E-06,144.2435741,41051.57939,0.021324158,0.006532636,0.640787119,0.032647678,65503,337.1614716,14.099374,111.004026
25985148,-1219.658705,563.1265481,129.6290283,131.484726,135.3881378,3269.927535,3339.960155,3427.524932,5.96E-08,3.55E-06,103.9215269,13209.71028,-0.232315063,0.011003553,0.939077167,0.11936562,65475,2961.786109,205.5045978,112.3480887
22257261,1004.719673,12380.00756,92.82687378,122.6200714,124.1719055,2222.249874,2633.617693,3222.178121,5.96E-08,1.61E-06,52.89350045,4656.920618,-0.046012878,0.007823516,0.535311572,0.038729614,65532,537.6000718,9.341446156,153.7366929
23465773,-3948.139638,2899.515252,111.1705322,118.1546936,128.7340546,3817.876894,4013.537776,4289.696653,5.96E-08,1.88E-06,51.26003736,3536.420074,0.052009583,0.008076186,0.883068356,0.060141748,65472,860.5361467,23.50382374,94.28094842
24058921,1210.248943,105.9063893,122.4575348,123.2224731,121.4299927,4198.724118,4230.235906,4273.112561,5.96E-08,2.33E-06,74.4461566,9850.526246,-0.107185364,0.007860083,0.873332435,0.060884979,65409,890.6843789,22.8410008,109.6173787
25460657,5669.155966,3446.042255,129.5770111,135.9870758,122.9347076,3173.274221,2461.865723,2765.614801,5.96E-08,6.93E-06,476.7960738,268915.5788,-0.025268555,0.011161279,0.536259115,0.072166155,65526,2063.890619,121.7203515,178.0342011
20784243,7981.721426,23100.6649,78.76522827,128.3467712,110.0303802,3104.294705,3750.183308,3606.787911,5.96E-08,1.41E-06,104.3587313,34084.2443,-0.02141571,0.00608055,0.155177356,0.016144916,65533,77.42640687,0.756075455,90.82829905
21186562,4946.091907,14205.74023,92.52145386,119.9957428,110.7640839,4077.220304,3433.86395,3685.531548,5.96E-08,1.26E-06,79.91457485,21924.78685,-0.045684814,0.006448906,0.422697826,0.026574921,65520,278.8355698,3.882276436,111.4468235
24907292,-579.2407391,1164.93856,123.9814606,127.5083618,128.5652924,4298.575203,4504.299308,4498.30549,5.96E-08,5.84E-06,218.5503201,57899.70019,-0.18901062,0.006580773,0.695656391,0.033759064,65335,404.6822869,12.53602862,92.38312416
25433510,-1457.584345,247.1301267,127.8220062,128.6732483,131.5893097,4087.688579,4129.358352,4158.792775,5.96E-08,7.57E-06,170.7285459,32764.76796,-0.132980347,0.007510065,0.781164799,0.052440607,65256,671.0975465,15.95537256,103.0193128
19645983,11037.38013,23156.51006,73.07362366,126.1445465,100.5557404,2356.667294,3213.035945,2915.791357,5.96E-08,1.55E-06,144.6991079,54723.05935,-0.123168945,0.006502861,0.250174915,0.021347843,65530,117.4680374,1.153906541,124.047399
25002386,-2207.428166,-289.2889903,126.2204132,124.4351501,130.8505707,3983.857103,3795.037939,3953.615656,5.96E-08,2.51E-06,73.62985202,7435.688011,-0.143997192,0.008933584,0.848458027,0.088626248,65442,1891.794119,81.33517947,119.043718
23945733,18.63812883,-2216.064323,127.957077,119.4300232,117.9957886,4530.276676,3778.866899,3823.315565,5.96E-08,1.68E-06,64.91675966,7710.325389,-0.269721985,0.009884017,0.70407977,0.098153499,65450,2231.089537,168.6916064,138.2082945
19722656,9369.535655,29625.03625,66.29594421,127.9861145,106.6617889,2759.705676,3662.659292,3540.223763,5.96E-08,1.53E-06,113.7368405,37163.34182,-0.024894714,0.006161212,0.14930177,0.017247583,65534,75.63351365,1.274224597,96.38512841
