img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
23434476,1526.803072,232.749985,119.5799561,119.7602386,118.2415314,4094.861954,3968.76922,4260.176541,5.96E-08,2.50E-06,85.945455,10550.134,-0.156982422,0.008811154,0.874251906,0.080442102,65487,1863.285497,88.98996185,110.515552
22424757,2718.600697,3480.769908,109.6369934,117.6754303,114.8622131,4203.213594,4181.070543,4594.628995,5.96E-08,1.32E-06,80.05144865,24690.40759,-0.225662231,0.007450902,0.760257837,0.051144414,65460,1015.631601,76.4906501,100.8444803
24612268,-1751.796601,2628.944714,118.2524872,124.6166687,132.6842499,2676.340288,2645.753143,3063.742358,5.96E-08,2.94E-06,124.8256194,23786.37423,-0.365356445,0.011137664,0.799589097,0.088292769,65482,1927.144407,124.5221535,136.2859279
20453781,-3890.939736,3057.123775,94.33485413,102.4402771,115.3247986,1906.426645,1965.561619,2391.200292,5.96E-08,3.95E-06,145.1000297,30885.32793,-0.298225403,0.023037902,0.983178847,0.315538369,65514,10233.29632,1775.09385,177.554611
23175632,-3724.566192,2654.141049,109.3070984,115.7582855,128.5666962,3239.48995,3254.252716,3843.316902,5.96E-08,2.25E-06,61.28249349,5161.004054,-0.019248962,0.013859337,0.973588345,0.188921406,65501,5088.988345,471.1843951,101.7667292
24610823,1751.992126,1788.060291,123.4181976,128.1369324,123.9762268,3559.321189,3524.414172,3521.334457,5.96E-08,2.47E-06,81.23380816,9627.835146,-0.212081909,0.008916757,0.872050689,0.07729321,65496,1346.502705,44.98942555,125.0478248
23325562,-5126.28668,711.1552372,112.9322052,114.3938446,128.5937805,3506.232266,3493.362236,3826.712275,5.96E-08,3.32E-06,83.22190397,8266.511314,-0.467979431,0.01007656,0.939219728,0.102412598,65478,1807.42049,92.96794254,102.0206677
23708054,-1352.360981,6556.638545,109.7457428,123.4950562,128.5153961,4113.610967,3854.756934,4106.553474,5.96E-08,1.87E-06,56.78690908,5162.837971,-0.313056946,0.009481525,0.917750449,0.102410508,65517,2388.233765,147.7861248,120.623584
25528765,-1230.610025,1618.939951,126.6047211,129.2418365,133.6914825,3986.911824,3687.174013,3876.554826,5.96E-08,3.07E-06,106.518529,15559.92597,-0.567123413,0.009324327,0.793244095,0.096088962,65450,2135.9373,108.9032623,137.9036043
24178683,4860.26368,653.5488954,123.0406494,126.2063599,119.6904144,3931.705409,3880.907794,4304.74661,5.96E-08,1.49E-06,55.16812264,6025.072798,-0.099197388,0.008478054,0.877188822,0.068487373,65511,1040.466125,32.51030236,104.4587048
